time,num_ues,imsi,rnti,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer_bytes,tx_brate_dl_mbps,tx_pkts_downlink,tx_errors_downlink_pct,dl_cqi,ul_mcs,ul_n_samples,ul_buffer_bytes,rx_brate_ul_mbps,rx_pkts_uplink,rx_errors_uplink_pct,ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file
1602351512223,10,1010123456002,79,1,1,4,1,0,14.4,10,0,0.010592,4,0,9.0,0.0,0,0,0.0,0,0.0,0,0.0,0,37,10,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351512473,10,1010123456002,79,1,1,4,1,0,12.0345,29,0,0.027136,12,0,8.33333,0.0,0,0,0.0,0,0.0,0,0.0,0,99,34,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351512723,10,1010123456002,79,1,1,4,1,0,14.55,20,0,0.0214297,8,0,8.33333,0.0,0,0,0.0,0,0.0,0,0.0,0,76,20,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351512973,10,1010123456002,79,1,1,4,1,0,7.76744,43,15,0.02608,17,0,4.5,0.0,0,0,0.0,0,0.0,0,0.0,0,310,106,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351513223,10,1010123456002,79,1,1,4,1,0,8.42857,21,0,0.0178956,10,0,9.0,0.1,20,0,0.1,9,0.0,0,3.03985,31,92,32,0,0,0,1.15,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351513473,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,6.5,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351513723,10,1010123456002,79,1,1,4,1,0,12.0,7,0,0.00544,3,0,9.5,0.0,0,0,0.0,0,0.0,0,0.0,0,57,6,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351513973,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,11.5,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351514223,10,1010123456002,79,1,1,4,1,0,4.0,49,81,0.01312,19,0,8.0,0.1,22,0,0.1,8,0.0,0,3.22165,31,67,50,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351514473,10,1010123456002,79,1,1,4,1,0,6.62963,27,0,0.0162249,12,0,9.25,0.0,0,0,0.0,0,0.0,0,0.0,0,112,30,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351514723,10,1010123456002,79,1,1,4,1,0,13.0833,24,0,0.021504,10,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,60,24,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351514973,10,1010123456002,79,1,1,4,1,0,18.0,3,0,0.00517269,1,0,9.33333,0.1,24,0,0.1,10,0.0,0,3.3738,31,8,4,0,0,0,1.375,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351515223,10,1010123456002,79,1,1,4,1,0,13.2143,14,0,0.0108916,5,0,8.5,0.0,0,0,0.0,0,0.0,0,0.0,0,43,12,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351515473,10,1010123456002,79,1,1,4,1,0,6.90909,44,0,0.0223936,17,0,9.0,0.0,0,0,0.0,0,0.0,0,0.0,0,129,44,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351515723,10,1010123456002,79,1,1,4,1,0,13.625,8,0,0.00549398,3,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,16,6,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351515973,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,9.5,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351516223,10,1010123456002,79,1,1,4,1,0,12.7647,17,22,0.0109237,5,0,9.5,0.1,42,0,0.1,16,31.25,0,2.99121,31,40,16,0,0,0,4.66667,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351516473,10,1010123456002,79,1,1,4,1,0,7.5,30,0,0.0220723,13,0,7.5,0.0,0,0,0.0,0,0.0,0,0.0,0,224,32,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351516724,10,1010123456002,79,1,1,4,1,0,15.2308,13,0,0.01584,5,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,39,14,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351516973,10,1010123456002,79,1,1,4,1,0,3.18182,33,430,0.0066506,9,0,6.5,0.0,0,0,0.0,0,0.0,0,0.0,0,9,34,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351517223,10,1010123456002,79,1,1,4,1,0,5.56322,87,0,0.034912,41,0,7.75,0.1,29,0,0.1,11,9.09091,0,2.86461,31,384,86,0,0,0,2.93103,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351517473,10,1010123456002,79,1,1,4,1,0,11.5385,13,0,0.010848,5,0,5.0,0.0,0,0,0.0,0,0.0,0,0.0,0,46,12,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351517723,10,1010123456002,79,1,1,4,1,0,6.66667,21,0,0.0111807,8,0,5.5,0.0,0,0,0.0,0,0.0,0,0.0,0,120,26,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351517973,10,1010123456002,79,1,1,4,1,0,18.3333,9,0,0.010464,3,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,16,8,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351518223,10,1010123456002,79,1,1,4,1,0,13.75,16,0,0.016096,6,0,8.0,0.0,0,0,0.0,0,0.0,0,0.0,0,34,16,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351518473,10,1010123456002,79,1,1,4,1,0,7.36364,22,0,0.011296,9,0,9.0,0.1,21,0,0.1,9,0.0,0,2.49219,31,122,24,0,0,0,1.7619,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351518723,10,1010123456002,79,1,1,4,1,0,14.6667,9,0,0.00546185,3,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,22,10,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351518973,10,1010123456002,79,1,1,4,1,0,15.3333,9,0,0.02096,5,0,7.66667,0.0,0,0,0.0,0,0.0,0,0.0,0,15,14,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351519223,10,1010123456002,79,1,1,4,1,0,13.15,20,0,0.02144,8,0,12.0,0.1,27,0,0.1,10,0.0,0,2.82687,31,48,22,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351519473,10,1010123456002,79,1,1,4,1,0,15.5556,18,0,0.020992,7,0,6.5,0.0,0,0,0.0,0,0.0,0,0.0,0,39,20,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351519723,10,1010123456002,79,1,1,4,1,0,18.6,5,0,0.00533333,2,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,14,4,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351519973,10,1010123456002,79,1,1,4,1,0,13.1111,18,0,0.016032,7,0,6.5,0.0,0,0,0.0,0,0.0,0,0.0,0,23,18,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351520223,10,1010123456002,79,1,1,4,1,0,1.95385,65,0,0.0184,26,0,13.5,1.66667,18,0,0.1,6,0.0,0,5.94913,31,100,78,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351520473,10,1010123456002,79,1,1,4,1,0,15.2,5,0,0.00526908,2,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,6,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351520723,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351520973,10,1010123456002,79,1,1,4,1,0,14.3571,14,0,0.0159036,6,0,10.3333,0.1,24,0,0.1,9,0.0,0,2.85708,31,69,16,0,0,0,1.25,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351521223,10,1010123456002,79,1,1,4,1,0,0.0,4,0,0.0103454,2,0,10.6667,0.0,0,0,0.0,0,0.0,0,0.0,0,7,8,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351521473,10,1010123456002,79,1,1,4,1,0,12.6562,32,0,0.03232,13,0,8.5,0.0,2,0,0.1,1,0.0,0,0.0,31,89,38,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351521723,10,1010123456002,79,1,1,4,1,0,15.0,10,0,0.0106667,4,0,9.75,0.0,0,0,0.0,0,0.0,0,0.0,0,45,10,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351521973,10,1010123456002,79,1,1,4,1,0,20.8667,15,0,0.0211406,6,0,14.0,0.1,3,0,0.1,1,0.0,0,3.94142,31,32,14,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351522223,10,1010123456002,79,1,1,4,1,0,14.2143,28,0,0.0267309,11,0,10.25,0.1,21,0,0.1,9,0.0,0,3.8104,31,81,26,0,0,0,1.09524,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351522473,10,1010123456002,79,1,1,4,1,0,14.1176,17,0,0.0162892,7,0,12.0,0.0,0,0,0.0,0,0.0,0,0.0,0,52,16,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351522723,10,1010123456002,79,1,1,4,1,0,9.95833,24,0,0.0110201,6,0,9.66667,0.0,0,0,0.0,0,0.0,0,0.0,0,61,24,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351522973,10,1010123456002,79,1,1,4,1,0,4.09302,43,0,0.0180241,22,0,5.66667,0.1,22,0,0.1,10,0.0,0,3.67435,31,51,44,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351523223,10,1010123456002,79,1,1,4,1,0,9.92857,14,158,0.010988,6,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,72,18,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351523473,10,1010123456002,79,1,1,4,1,0,0.0,4,0,0.0103454,2,0,8.0,0.0,0,0,0.0,0,0.0,0,0.0,0,19,8,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351523723,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,8.66667,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351523973,10,1010123456002,79,1,1,4,1,0,11.4,10,0,0.010784,4,0,7.75,0.0,0,0,0.0,0,0.0,0,0.0,0,18,14,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351524223,10,1010123456002,79,1,1,4,1,0,8.67647,34,0,0.011552,9,0,7.75,0.1875,32,0,0.1,13,0.0,0,3.80364,31,26,28,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351524473,10,1010123456002,79,1,1,4,1,0,13.8,5,0,0.0106345,6,0,11.6,0.0,0,0,0.0,0,0.0,0,0.0,0,14,6,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351524723,10,1010123456002,79,1,1,4,1,0,1.81818,33,238,0.00922088,13,0,4.0,0.0,0,0,0.0,0,0.0,0,0.0,0,-112,180,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351524973,10,1010123456002,79,1,1,4,1,0,2.76724,116,134,0.03392,47,0,6.33333,0.0,0,0,0.0,0,0.0,0,0.0,0,61,168,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351525223,10,1010123456002,79,1,1,4,1,0,8.0,12,0,0.010912,6,0,9.6,0.1,25,0,0.1,11,0.0,0,4.58719,31,35,16,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351525473,10,1010123456002,79,1,1,4,1,0,7.1,10,0,0.005504,4,0,7.5,0.0,0,0,0.0,0,0.0,0,0.0,0,63,12,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351525723,10,1010123456002,79,1,1,4,1,0,17.6,5,0,0.00528,2,0,9.0,0.0,0,0,0.0,0,0.0,0,0.0,0,30,4,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351525973,10,1010123456002,79,1,1,4,1,0,16.0,7,0,0.0104418,3,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,33,10,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351526223,10,1010123456002,79,1,1,4,1,0,0.0,0,0,0.0,0,0,7.0,1.4,15,0,0.1,6,0.0,0,4.8623,31,0,0,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351526473,10,1010123456002,79,1,1,4,1,0,4.8,45,0,0.0176,19,0,5.0,0.0,0,0,0.0,0,0.0,0,0.0,0,504,60,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351526723,10,1010123456002,79,1,1,4,1,0,4.54412,68,0,0.0234859,26,0,7.0,0.0,0,0,0.0,0,0.0,0,0.0,0,362,84,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351526973,10,1010123456002,79,1,1,4,1,0,18.2,5,0,0.0106024,2,0,6.5,0.0,0,0,0.0,0,0.0,0,0.0,0,22,8,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351527223,10,1010123456002,79,1,1,4,1,0,9.0,11,0,0.0107952,4,0,8.33333,0.222222,18,0,0.1,8,0.0,0,4.18644,31,139,16,0,0,0,1.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351527473,10,1010123456002,79,1,1,4,1,0,13.5,10,0,0.0106024,4,0,10.0,0.0,0,0,0.0,0,0.0,0,0.0,0,33,12,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351527723,10,1010123456002,79,1,1,4,1,0,3.80702,57,0,0.0184739,24,0,4.5,0.0,0,0,0.0,0,0.0,0,0.0,0,287,66,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
1602351527973,10,1010123456002,79,1,1,4,1,0,10.2,5,0,0.005408,2,0,9.0,0.0,0,0,0.0,0,0.0,0,0.0,0,24,6,0,0,0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/slices_bs1/1010123456002_metrics.csv
